,title,author,publication_day,publication_month,publication_year,format,current_price,original_price
263,Show Your Work!,Austin Kleon,11,3,2014,Paperback,13.06,13.06
264,You and Me on Vacation,Emily Henry,22,7,2021,Paperback,11.33,11.33
265,Norwegian Wood,Haruki Murakami,4,7,2003,Paperback,17.07,27.75
266,The Subtle Art of Not Giving a F*ck,Mark Manson,17,11,2016,Hardback,21.56,26.99
267,The Subtle Art of Not Giving a F*Ck,Mark Manson,13,9,2017,Paperback,18.07,18.99
268,Una corte de llamas plateadas,Sarah J. Maas,10,11,2021,Paperback,17.82,19.87
269,"Chainsaw Man, Vol. 6",Tatsuki Fujimoto,14,10,2021,Paperback,8.94,9.99
270,The Little Prince,Antoine de Saint-Exupery,1,1,1998,Paperback,5.15,5.15
271,Call Me By Your Name,Andre Aciman,21,12,2017,Paperback,15.81,15.81
272,Scattered Minds,Dr Gabor Mate,3,1,2019,Paperback,14.12,15.1
274,Berserk Deluxe Volume 5,Kentaro Miura,26,7,2020,Hardback,59.96,59.96
275,American Dirt,Jeanine Cummins,18,2,2021,Paperback,15.95,15.95
276,Meditations,Marcus Aurelius,6,2,2019,Paperback,12.48,12.48
277,The Rabbit Listened,Cori Doerrfeld,20,2,2018,Hardback,19.9,19.9
278,A Court of Frost and Starlight,Sarah J. Maas,5,6,2020,Paperback,13.1,13.1
279,The 13-Storey Treehouse,Andy Griffiths,20,3,2015,Paperback,6.6,9.6
280,On Writing,Stephen King,1,9,2020,Paperback,17.05,19.75
281,Look Inside Space,Rob Lloyd Jones,29,11,2012,Board book,15.98,15.98
282,Humankind,Rutger Bregman,13,5,2021,Paperback,14.26,14.26
283,Mythos,Stephen Fry,26,7,2018,Paperback,13.97,13.97
284,"The Case Study of Vanitas, Vol. 3",Jun Mochizuki,14,11,2017,Paperback,12.47,13.0
285,The Outsiders,S E Hinton,4,8,2016,Paperback,10.34,10.98
286,Hear Yourself,Prem Rawat,30,9,2021,Hardback,23.73,26.99
287,The Intelligent Investor,Benjamin Graham,23,10,2003,Paperback,23.31,24.99
288,The Only Study Guide You'll Ever Need,Jade Bowler,5,8,2021,Paperback,16.1,20.59
289,Ikigai,Héctor García,7,9,2017,Hardback,19.45,19.45
290,Ottolenghi SIMPLE,Yotam Ottolenghi,6,9,2018,Hardback,36.97,36.97
291,My Year of Rest and Relaxation,Ottessa Moshfegh,2,5,2019,Paperback,14.54,14.54
292,Attack On Titan Season 1 Part 2 Manga Box Set,Hajime Isayama,25,6,2018,Paperback,40.83,43.96
293,Milk and Honey,Rupi Kaur,8,7,2016,Paperback,11.78,14.99
294,Look Inside Things That Go,Rob Lloyd Jones,1,11,2013,Board book,17.08,17.08
295,The Priory of the Orange Tree,Samantha Shannon,6,2,2020,Paperback,17.51,17.51
296,The Salt Path,Raynor Winn,31,1,2019,Paperback,12.68,13.72
297,Angel Answers Oracle Cards,Radleigh Valentine,9,11,2020,Cards,16.27,19.99
298,The Girl Who Never Made Mistakes,Gary Rubinstein,4,11,2011,Hardback,18.03,18.03
299,Secrets of Natural Success,William Whitecloud,12,7,2019,Paperback,25.18,25.18
300,Mr Men Little Miss Advent Calendar,Adam Hargreave,14,10,2021,Hardback,24.58,27.46
301,Why We Sleep,Matthew Walker,31,10,2018,Paperback,18.91,18.91
302,Roald Dahl's Marvellous Joke Book,Roald Dahl,6,9,2012,Paperback,8.2,8.2
303,Meditations,Marcus Aurelius,17,11,2015,Paperback,10.12,11.0
304,All the Light We Cannot See,Anthony Doerr,1,5,2015,Paperback,14.11,14.11
305,Talk To Me In Korean Level 1 (downloadable Audio Files Included),Talktomeinkorean Talktomeinkorean,28,12,2015,Paperback,17.88,24.99
306,This Book Is for You,Worry Lines,12,10,2021,Hardback,17.62,17.62
307,"Demon Slayer: Kimetsu no Yaiba, Vol. 23",Koyoharu Gotouge,30,9,2021,Paperback,9.93,9.99
308,Funkytown,Paul Kennedy,28,9,2021,Paperback,21.47,23.99
309,Never Split the Difference,Chris Voss,23,3,2017,Paperback,15.44,15.44
310,Capitalist Realism - Is there no alternative?,Mark Fisher,9,12,2013,Paperback,13.89,14.95
311,In the Realm of Hungry Ghosts,Dr Gabor Mate,4,10,2018,Paperback,15.67,15.67
312,The Obstacle is the Way,Ryan Holiday,31,10,2018,Paperback,11.17,13.72
313,The Goal,Elle Kennedy,26,9,2016,Paperback,14.94,15.0
314,Disney Princess Storybook Collection: Advent Calendar,,1,10,2021,Hardback,35.43,35.43
315,Tarot of Mystical Moments,Catrin Welz-Stein,1,4,2021,Hardback,25.4,25.95
316,Med,Claudia Roden,2,9,2021,Hardback,40.9,40.9
317,The Seven Sisters,Lucinda Riley,1,11,2018,Paperback,15.72,15.72
318,Shadow and Bone: Siege and Storm,Leigh Bardugo,28,6,2018,Paperback,13.87,13.87
319,To Kill a Kingdom,Alexandra Christo,6,3,2018,Paperback,14.28,14.28
320,A Man Called Ove,Fredrik Backman,7,5,2015,Paperback,9.86,12.35
321,"My Hero Academia, Vol. 2",Kohei Horikoshi,19,11,2015,Paperback,15.29,15.29
322,Circe,Madeline Miller,19,4,2018,Hardback,25.25,25.25
323,Peter Darling,Austin Chant,1,6,2021,Paperback,13.34,13.34
324,The Wonky Donkey,Craig Smith,30,11,2018,Paperback,7.79,7.79
325,The Mamba Mentality: How I Play,Kobe Bryant,28,2,2020,Hardback,33.1,35.0
